Snapshot_Date,Team,Player,Status,Chance_Of_Playing_Next_Round,News,Minutes_This_Season,Now_Cost,Is_Key_Player
2026-09-04,Hull,Matt Crooks,d,75.0,Thigh injury - 75% chance of playing,90,45,False
2026-09-04,Hull,Regan Slater,a,,,180,45,True
2026-09-04,Hull,Eliot Matazo,i,0.0,Knee injury - Unknown return date,0,45,False
2026-09-04,Hull,Abdülkadir Ömür,a,,,0,49,False
2026-09-04,Hull,Abu Kamara,u,0.0,Has joined Portsmouth permanently,0,50,False
2026-09-04,Hull,Óscar Zambrano,i,0.0,Thigh injury - Unknown return date,0,45,False
2026-09-04,Hull,Oli McBurnie,a,,,180,55,True
2026-09-04,Hull,David Akintola,a,,,0,50,False
2026-09-04,Hull,Darko Gyabi,i,0.0,Thigh injury - Unknown return date,0,45,False
2026-09-04,Hull,Enis Destan,u,0.0,Has joined Konyaspor permanently,0,45,False
2026-09-04,Hull,Mason Burstow,u,0.0,Has joined Sheffield Wednesday on loan for the rest of the season,0,45,False
2026-09-04,Hull,Joe Gelhardt,a,100.0,,0,50,False
2026-09-04,Hull,Matt Targett,a,,,5,40,False
2026-09-04,Hull,Hidemasa Morita,a,100.0,,45,50,False
2026-09-04,Hull,Konstantinos Tzolakis,a,,,180,46,True
2026-09-04,Hull,Jens Hjertø-Dahl,a,,,0,50,False
2026-09-04,Hull,Elliot Stroud,a,,,128,50,True
2026-09-04,Hull,Lucas Herrington,a,,,57,40,False
2026-09-04,Hull,Nobel Mendy,a,100.0,,121,40,True
2026-09-04,Hull,Lucas Gourna-Douath,a,,,45,50,False
2026-09-04,Hull,Mohamed-Ali Cho,a,,,7,50,False
2026-09-04,Hull,Ilyas Ansah,a,,,0,50,False
2026-09-04,Hull,Robinio Vaz,a,,,0,50,False
2026-09-04,Hull,Brooke Norton-Cuffy,a,,,0,40,False
2026-09-04,Hull,Sorba Thomas,a,,,0,55,False
2026-09-04,Hull,Christos Mouzakitis,a,,,0,50,False
2026-09-04,Ipswich,Issa Diop,a,,,224,40,True
2026-09-04,Ipswich,Saša Lukić,a,,,206,50,True
2026-09-04,Ipswich,Christian Walton,a,,,0,45,False
2026-09-04,Ipswich,Alex Palmer,a,,,0,40,False
2026-09-04,Ipswich,David Button,a,,,0,40,False
2026-09-04,Ipswich,Cédric Kipré,a,,,0,40,False
2026-09-04,Ipswich,Dara O'Shea,a,,,224,40,True
2026-09-04,Ipswich,Leif Davis,a,,,224,40,True
2026-09-04,Ipswich,Jacob Greaves,a,,,224,40,True
2026-09-04,Ipswich,Ben Johnson,u,0.0,Has joined Stoke City on loan for the rest of the season,0,40,False
2026-09-04,Ipswich,Darnell Furlong,a,,,17,40,False
