Season,Team,Matches_Played,Wins,Draws,Losses,Points,Goals_Scored,Goals_Conceded,Goal_Difference,Shots,Shots_On_Target,Fouls,Corners,Yellow_Cards,Red_Cards,xG_Per_Match,xGA_Per_Match,xG_Difference_Per_Match,Shots_Per_Match,Shots_On_Target_Per_Match,Fouls_Per_Match,Yellow_Cards_Per_Match,Red_Cards_Per_Match,Shot_Conversion_Percentage,Points_Per_Match
2019/20,Aston Villa,38,9,8,21,35,41,67,-26,459,150,451,200,68,1,1.1865789473684212,1.8842105263157893,-0.6976315789473682,12.078947368421053,3.9473684210526314,11.868421052631579,1.7894736842105263,0.02631578947368421,8.932461873638346,0.9210526315789473
2019/20,Bournemouth,38,9,7,22,34,40,65,-25,389,121,369,194,73,3,1.1755263157894738,1.6655263157894737,-0.49,10.236842105263158,3.1842105263157894,9.710526315789474,1.9210526315789473,0.07894736842105263,10.282776349614396,0.8947368421052632
2019/20,Watford,38,8,10,20,34,36,64,-28,424,120,484,167,75,3,1.2778947368421054,1.566578947368421,-0.28868421052631565,11.157894736842104,3.1578947368421053,12.736842105263158,1.9736842105263157,0.07894736842105263,8.49056603773585,0.8947368421052632
2019/20,Norwich,38,5,6,27,21,26,75,-49,408,131,363,162,67,3,0.9797368421052631,1.8844736842105263,-0.9047368421052632,10.736842105263158,3.4473684210526314,9.552631578947368,1.763157894736842,0.07894736842105263,6.372549019607843,0.5526315789473685
2020/21,Man City,38,27,5,6,86,83,32,51,604,219,361,247,46,2,2.0452631578947367,0.8055263157894736,1.239736842105263,15.894736842105264,5.7631578947368425,9.5,1.2105263157894737,0.05263157894736842,13.741721854304636,2.263157894736842
2020/21,Man United,38,21,11,6,74,73,44,29,521,212,452,197,64,1,1.6623684210526317,1.1031578947368421,0.5592105263157896,13.710526315789474,5.578947368421052,11.894736842105264,1.6842105263157894,0.02631578947368421,14.011516314779271,1.9473684210526316
2020/21,Liverpool,38,20,9,9,69,68,42,26,608,214,396,260,40,0,1.9002631578947367,1.2447368421052631,0.6555263157894735,16.0,5.631578947368421,10.421052631578947,1.0526315789473684,0.0,11.18421052631579,1.8157894736842106
2020/21,Chelsea,38,19,10,9,67,58,36,22,558,209,433,227,48,3,1.8068421052631578,0.8131578947368421,0.9936842105263157,14.68421052631579,5.5,11.394736842105264,1.263157894736842,0.07894736842105263,10.39426523297491,1.763157894736842
2020/21,Leicester,38,20,6,12,66,68,50,18,484,185,416,214,60,0,1.5473684210526315,1.2386842105263158,0.30868421052631567,12.736842105263158,4.868421052631579,10.947368421052632,1.5789473684210527,0.0,14.049586776859504,1.736842105263158
2020/21,West Ham,38,19,8,11,65,62,47,15,468,165,374,168,48,3,1.5878947368421052,1.3121052631578947,0.2757894736842106,12.31578947368421,4.342105263157895,9.842105263157896,1.263157894736842,0.07894736842105263,13.247863247863249,1.7105263157894737
2020/21,Tottenham,38,18,8,12,62,68,45,23,444,176,439,168,53,2,1.4915789473684211,1.3828947368421052,0.10868421052631594,11.68421052631579,4.631578947368421,11.552631578947368,1.394736842105263,0.05263157894736842,15.315315315315313,1.631578947368421
2020/21,Arsenal,38,18,7,13,61,55,39,16,459,152,345,208,47,5,1.375,1.1376315789473683,0.23736842105263167,12.078947368421053,4.0,9.078947368421053,1.236842105263158,0.13157894736842105,11.982570806100219,1.605263157894737
2020/21,Everton,38,17,8,13,59,47,48,-1,400,148,386,167,58,2,1.2957894736842106,1.3199999999999998,-0.024210526315789238,10.526315789473685,3.8947368421052633,10.157894736842104,1.5263157894736843,0.05263157894736842,11.75,1.5526315789473684
2020/21,Leeds,38,18,5,15,59,62,54,8,522,199,427,231,61,1,1.5594736842105263,1.658421052631579,-0.09894736842105267,13.736842105263158,5.2368421052631575,11.236842105263158,1.605263157894737,0.02631578947368421,11.877394636015326,1.5526315789473684
